TradeID;KEY;Symbol;Broker;Status;open_type;open_status;open_time;open_duration;open_volume;open_price;opened_price;comission;slippage;spread_avg;spread_open;spread_expected;spread_close;close_status;close_time;close_price;closed_price;profit_points;profit_usd;profit_symbol
2;USDCADF4YICM;USDCAD;F4Y;TRADE_CLOSED;OP_SELL;ORDER_FILLED;2019-01-15_00:30:38.261;238,462;0;1,34499;1,34499;0;2;7;7;7;7;ORDER_FILLED;2019-01-15_00:34:36.723;1,34465;1,34465;34;0,457171;0,457171
2;USDCADF4YICM;USDCAD;ICM;TRADE_CLOSED;OP_BUY;ORDER_DISABLED;2019-01-15_00:30:37.985;0;0;1,34483;0;0;2;3;4;3;0;0;0;0;0;0;0;0
3;AUDUSDF4YICM;AUDUSD;ICM;TRADE_CLOSED;OP_SELL;ORDER_DISABLED;2019-01-15_01:00:19.674;0;0;0,7046;0;0;2;3;3;3;0;0;0;0;0;0;0;0
3;AUDUSDF4YICM;AUDUSD;F4Y;TRADE_CLOSED;OP_BUY;ORDER_FILLED;2019-01-15_01:00:16.254;184;0;0,70444;0,70444;0;2;6;6;6;5;ORDER_FILLED;2019-01-15_01:03:20.254;0,70463;0,70463;19;0,19;0,19
4;EURAUDFFSICM;EURAUD;ICM;TRADE_CLOSED;OP_BUY;ORDER_DISABLED;2019-01-15_01:00:20.69;0;0;1,62;0;0;2;6;6;6;0;0;0;0;0;0;0;0
4;EURAUDFFSICM;EURAUD;FFS;TRADE_CLOSED;OP_SELL;ORDER_FILLED;2019-01-15_01:00:19.918;280,674;0;1,62028;1,62028;0;2;27;27;27;25;ORDER_FILLED;2019-01-15_01:05:00.592;1,61989;1,61989;39;0,553513;0,553513
6;EURUSDF4YICM;EURUSD;F4Y;TRADE_CLOSED;OP_SELL;ORDER_FILLED;2019-01-15_01:58:40.98;183,525;0;1,1411;1,1411;0;2;3;3;3;3;ORDER_FILLED;2019-01-15_02:01:43.623;1,14087;1,14087;23;0,23;0,23
6;EURUSDF4YICM;EURUSD;ICM;TRADE_CLOSED;OP_BUY;ORDER_DISABLED;2019-01-15_01:58:40.223;0;0;1,14097;0;0;2;1;1;1;0;0;0;0;0;0;0;0
7;USDJPYF4YICM;USDJPY;F4Y;TRADE_CLOSED;OP_SELL;ORDER_FILLED;2019-01-15_02:20:22.465;180,261;0;108,045;108,045;0;2;3;5;4;3;ORDER_FILLED;2019-01-15_02:23:22.726;108,028;108,028;17;0,183646;0,183646
7;USDJPYF4YICM;USDJPY;ICM;TRADE_CLOSED;OP_BUY;ORDER_DISABLED;2019-01-15_02:20:22.477;0;0;108,03;0;0;2;2;2;2;0;0;0;0;0;0;0;0
8;USDJPYF4YICM;USDJPY;F4Y;TRADE_CLOSED;OP_SELL;ORDER_FILLED;2019-01-15_02:25:45.787;201,552;0;108,05;108,05;0;2;3;4;3;3;ORDER_FILLED;2019-01-15_02:29:07.339;108,059;108,059;-9;-0,0972522;0,0863937
8;USDJPYF4YICM;USDJPY;ICM;TRADE_CLOSED;OP_BUY;ORDER_DISABLED;2019-01-15_02:25:45.925;0;0;108,037;0;0;2;1;1;1;0;0;0;0;0;0;0;0
