TradeID;KEY;Symbol;Status;Duration;Broker1;order1_type;open1_status;Broker2;order2_type;open2_status;cost;gain_min;gain_match;profit_points;profit_usd;profit_SymbolKey;profit_brokerPair
2;USDCADF4YICM;USDCAD;TRADE_CLOSED;238.462;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;11;10;10;34;0,457171;0,457171;0,457171
3;AUDUSDF4YICM;AUDUSD;TRADE_CLOSED;180.580;ICM;OP_SELL;ORDER_DISABLED;F4Y;OP_BUY;ORDER_FILLED;9;10;10;19;0,19;0,19;0,647171
4;EURAUDFFSICM;EURAUD;TRADE_CLOSED;280.523;ICM;OP_BUY;ORDER_DISABLED;FFS;OP_SELL;ORDER_FILLED;33;10;10;39;0,553513;0,553513;0,553513
6;EURUSDF4YICM;EURUSD;TRADE_CLOSED;183.525;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;4;10;10;23;0,23;0,23;0,877171
7;USDJPYF4YICM;USDJPY;TRADE_CLOSED;180.261;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;7;10;10;17;0,183646;0,183646;1,06082
8;USDJPYF4YICM;USDJPY;TRADE_CLOSED;201.552;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;5;10;10;-9;-0,0972522;0,0863937;0,963564
9;USDCADFFSICM;USDCAD;TRADE_CLOSED;338.318;FFS;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;27;10;13;182;2,44916;2,44916;3,00267
11;AUDUSDF4YFFS;AUDUSD;TRADE_CLOSED;180.508;FFS;OP_BUY;ORDER_FILLED;F4Y;OP_SELL;ORDER_FILLED;68;10;66;121;1,21;1,21;1,21
10;AUDUSDF4YICM;AUDUSD;TRADE_CLOSED;180.212;ICM;OP_BUY;ORDER_DISABLED;F4Y;OP_SELL;ORDER_FILLED;44;10;82;6;0,06;0,25;1,02356
15;USDJPYF4YICM;USDJPY;TRADE_CLOSED;179.869;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;49;10;59;141;1,52594;1,61234;2,54951
18;USDJPYF4YICM;USDJPY;TRADE_CLOSED;180.074;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;31;69;91;164;1,77486;3,3872;4,32437
17;USDJPYFFSICM;USDJPY;TRADE_CLOSED;180.246;FFS;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;81;10;54;147;1,59088;1,59088;4,59355
19;USDCADFFSICM;USDCAD;TRADE_CLOSED;180.914;FFS;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;94;23;53;10;0,134517;2,58367;4,72806
14;EURUSDF4YICM;EURUSD;TRADE_CLOSED;182.876;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;122;10;152;207;2,07;2,3;6,39437
16;GBPUSDFFSICM;GBPUSD;TRADE_CLOSED;183.435;FFS;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;77;10;67;114;1,14;1,14;5,86806
12;EURUSDFFSICM;EURUSD;TRADE_CLOSED;185.106;FFS;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;119;10;155;211;2,11;2,11;7,97806
13;GBPUSDF4YICM;GBPUSD;TRADE_CLOSED;185.000;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;80;10;70;133;1,33;1,33;7,72437
21;USDCADF4YICM;USDCAD;TRADE_CLOSED;180.479;F4Y;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;89;10;25;-31;-0,417055;0,0401154;7,30731
23;CADJPYF4YICM;CADJPY;TRADE_CLOSED;179.896;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;65;10;23;79;0,855072;0,855072;8,16238
24;USDCADF4YICM;USDCAD;TRADE_CLOSED;180.119;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;76;35;54;130;1,74918;1,78929;9,91156
20;EURCADF4YICM;EURCAD;TRADE_CLOSED;183.806;F4Y;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;94;10;11;1;0,0134554;0,0134554;9,92501
22;EURCADF4YICM;EURCAD;TRADE_CLOSED;183.563;F4Y;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;88;21;31;7;0,0941878;0,107643;10,0192
25;USDCHFFFSICM;USDCHF;TRADE_CLOSED;180.438;FFS;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;59;10;13;-78;-0,771077;-0,771077;7,20699
26;EURJPYF4YICM;EURJPY;TRADE_CLOSED;180.256;F4Y;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;53;10;21;-50;-0,541215;-0,541215;9,47799
27;USDCHFF4YICM;USDCHF;TRADE_CLOSED;182.907;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;28;10;10;114;1,1271;1,1271;10,6051
29;CADCHFFFSICM;CADCHF;TRADE_CLOSED;181.819;FFS;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;40;10;10;-1;-0,0098875;-0,0098875;7,1971
31;CHFJPYFFSICM;CHFJPY;TRADE_CLOSED;180.508;FFS;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;39;10;10;-51;-0,552055;-0,552055;6,64505
28;AUDCADF4YICM;AUDCAD;TRADE_CLOSED;184.706;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;43;10;10;-40;-0,538308;-0,538308;10,0668
30;AUDCADF4YICM;AUDCAD;TRADE_CLOSED;182.787;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;42;20;20;-45;-0,605597;-1,1439;9,46118
37;EURGBPF4YICM;EURGBP;TRADE_CLOSED;180.055;F4Y;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;33;10;10;9;0,0711299;0,0711299;9,53231
38;USDCHFF4YICM;USDCHF;TRADE_CLOSED;179.945;F4Y;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;29;20;20;-76;-0,751207;0,375888;8,7811
33;NZDUSDFFSICM;NZDUSD;TRADE_CLOSED;185.608;FFS;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;36;10;11;-62;-0,62;-0,62;6,02505
35;NZDUSDFFSICM;NZDUSD;TRADE_CLOSED;184.845;FFS;OP_SELL;ORDER_FILLED;ICM;OP_BUY;ORDER_DISABLED;30;21;21;-58;-0,58;-1,2;5,44505
32;GBPNZDFFSICM;GBPNZD;TRADE_CLOSED;186.435;FFS;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;121;10;18;-27;-0,403992;-0,403992;5,04105
34;GBPCADFFSICM;GBPCAD;TRADE_CLOSED;187.446;FFS;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;116;10;14;59;0,793945;0,793945;5,835
39;AUDJPYF4YICM;AUDJPY;TRADE_CLOSED;181.354;F4Y;OP_BUY;ORDER_FILLED;ICM;OP_SELL;ORDER_DISABLED;25;10;10;30;0,324609;0,324609;9,10571
